Index,Class,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,AVG_Churn,AVG_Holiday,Buggy
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,78,86,2,0,2,82,78,78,78,39.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,194,3,0,2,184,173,174,173,58.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,377,417,4,0,2,397,377,377,377,94.25,0.0,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,43,43,1,0,1,43,43,43,43,43.0,0.0,YES
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,436,5,0,2,340,252,244,252,48.8,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,76,80,2,0,2,78,76,76,76,38.0,0.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,379,423,4,6,3,401,228,379,211,94.75,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,4,1,0,1,2,2,0,0,0.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java,88,90,2,0,1,89,84,88,84,44.0,27.0,YES
2,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerMXBean.java,63,63,1,0,1,63,63,63,63,63.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,51,55,2,0,2,53,52,51,52,25.5,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,148,19,1,0,1,9,9,-1,0,-1.0,27.0,YES
2,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,105,0,0,0,0,0,0,0,0,0.0,27.0,YES
2,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,77,9,1,0,1,9,9,9,9,9.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,694,295,10,42,3,193,48,91,43,9.1,27.0,YES
2,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,62,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,35,2,1,6,1,1,1,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanInfo.java,27,27,1,0,1,27,27,27,27,27.0,27.0,NO
2,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,190,17,1,6,1,15,15,13,13,13.0,27.0,YES
2,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,66,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,171,8,1,6,1,5,5,2,2,2.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,88,148,2,0,1,118,113,88,113,44.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,312,76,5,18,3,70,44,64,44,12.8,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,175,42,2,12,2,12,7,-18,3,-9.0,27.0,YES
2,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java,425,431,2,6,1,428,424,425,424,212.5,27.0,YES
2,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,74,2,1,6,1,1,1,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,62,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,509,581,7,6,3,545,378,509,378,72.71429,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,65,22,1,6,1,13,13,4,4,4.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,36,7,2,12,1,7,5,7,5,3.5,27.0,YES
2,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,6,1,6,1,3,3,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/NettyHandlerMXBean.java,31,31,1,0,1,31,31,31,31,31.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,28,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114,28,1,6,1,14,14,0,0,0.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,764,1422,20,54,3,580,106,-262,53,-13.1,27.0,YES
2,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,363,16,1,6,1,5,5,-6,0,-6.0,27.0,YES
2,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,58,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,800,110,4,12,2,91,73,72,62,18.0,27.0,YES
2,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,582,270,6,18,3,152,106,34,68,5.6666665,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean.java,90,90,1,0,1,90,90,90,90,90.0,27.0,YES
2,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,143,5,1,6,1,5,5,5,5,5.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,79,3,1,6,1,2,2,1,1,1.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/SnapshotMap.java,132,132,1,6,1,132,132,132,132,132.0,27.0,NO
2,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,141,4,1,6,1,4,4,4,4,4.0,27.0,YES
2,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,612,210,4,18,1,185,98,160,92,40.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,90,47,1,6,1,25,25,3,3,3.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,85,4,1,6,1,4,4,4,4,4.0,27.0,YES
2,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,80,5,1,6,1,5,5,5,5,5.0,27.0,NO
2,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,103,6,1,6,1,5,5,4,4,4.0,27.0,YES
2,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,160,1,1,0,1,1,1,1,1,1.0,27.0,NO
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,271,297,2,0,1,284,260,271,260,135.5,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,86,20,1,0,1,18,18,16,16,16.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,507,65,4,24,2,29,15,-7,6,-1.75,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,27,133,2,0,1,80,79,27,79,13.5,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,111,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,64,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigJMXService.java,37,37,1,0,1,37,37,37,37,37.0,27.0,NO
2,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,43,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java,664,667,2,0,1,666,665,665,665,332.5,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,74,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanRegistry.java,48,48,1,0,1,48,48,48,48,48.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,256,64,3,12,2,43,33,22,19,7.3333335,27.0,YES
