Dataset, #TrainingReleases, Classifier, Feature, TruePositive, FalsePositive, TrueNegative, FalseNegative, Cost, Precision, Recall, AUC, Kappa, FMeasure
BOOKKEEPER,3,IBK,UNDERSAMPLING,16,15,287,39,0.0,0.5161290322580645,0.2909090909090909,0.6624623720650211,0.29363916165909426,0.37209302325581395
BOOKKEEPER,3,IBK,SMOTE,12,13,289,43,0.0,0.48,0.21818181818181817,0.6771523178807947,0.22541650523053075,0.3
BOOKKEEPER,3,IBK,COST_SENSITIVE_CLASSIFIER,9,6,296,46,466.0,0.6,0.16363636363636364,0.5718844069837448,0.20462724935732635,0.2571428571428571
BOOKKEEPER,4,IBK,NONE,0,0,342,35,0.0,0.0,0.0,0.7130325814536341,0.0,0.0
BOOKKEEPER,4,IBK,BESTFIRST,0,0,342,35,0.0,0.0,0.0,0.7379281537176274,0.0,0.0
BOOKKEEPER,4,IBK,GREEDYSTEPWISE,0,0,342,35,0.0,0.0,0.0,0.7379281537176274,0.0,0.0
BOOKKEEPER,4,IBK,OVERSAMPLING,0,0,342,35,0.0,0.0,0.0,0.6070175438596491,0.0,0.0
BOOKKEEPER,4,IBK,UNDERSAMPLING,2,0,342,33,0.0,1.0,0.05714285714285714,0.5875104427736006,0.09906582663480352,0.1081081081081081
BOOKKEEPER,4,IBK,SMOTE,0,0,342,35,0.0,0.0,0.0,0.7130325814536341,0.0,0.0
BOOKKEEPER,4,IBK,COST_SENSITIVE_CLASSIFIER,0,0,342,35,350.0,0.0,0.0,0.5,0.0,0.0
BOOKKEEPER,5,IBK,NONE,13,66,291,41,0.0,0.16455696202531644,0.24074074074074073,0.5766158315177923,0.04669311309097991,0.1954887218045113
BOOKKEEPER,5,IBK,BESTFIRST,10,21,336,44,0.0,0.3225806451612903,0.18518518518518517,0.41848220769789396,0.1542406686294994,0.2352941176470588
BOOKKEEPER,5,IBK,GREEDYSTEPWISE,12,17,340,42,0.0,0.41379310344827586,0.2222222222222222,0.43910156655254695,0.21729447080468653,0.2891566265060241
BOOKKEEPER,5,IBK,OVERSAMPLING,10,42,315,44,0.0,0.19230769230769232,0.18518518518518517,0.5323944392571843,0.06861660079051415,0.18867924528301885
BOOKKEEPER,5,IBK,UNDERSAMPLING,35,232,125,19,0.0,0.13108614232209737,0.6481481481481481,0.5060172217034962,-6.40186235995904E-4,0.21806853582554514
BOOKKEEPER,5,IBK,SMOTE,36,135,222,18,0.0,0.21052631578947367,0.6666666666666666,0.6638136736175951,0.15031010580080267,0.32
BOOKKEEPER,5,IBK,COST_SENSITIVE_CLASSIFIER,13,72,285,41,482.0,0.15294117647058825,0.24074074074074073,0.5195300342359166,0.03140837139460679,0.18705035971223025
BOOKKEEPER,2,RANDOM_FOREST,NONE,0,0,296,15,0.0,0.0,0.0,0.6430180180180181,0.0,0.0
BOOKKEEPER,2,RANDOM_FOREST,BESTFIRST,0,0,296,15,0.0,0.0,0.0,0.5,0.0,0.0
BOOKKEEPER,2,RANDOM_FOREST,GREEDYSTEPWISE,0,0,296,15,0.0,0.0,0.0,0.5,0.0,0.0
BOOKKEEPER,2,RANDOM_FOREST,OVERSAMPLING,0,0,296,15,0.0,0.0,0.0,0.5847972972972973,0.0,0.0
BOOKKEEPER,2,RANDOM_FOREST,UNDERSAMPLING,0,0,296,15,0.0,0.0,0.0,0.581418918918919,0.0,0.0
BOOKKEEPER,2,RANDOM_FOREST,SMOTE,0,0,296,15,0.0,0.0,0.0,0.5661036036036036,0.0,0.0
BOOKKEEPER,2,RANDOM_FOREST,COST_SENSITIVE_CLASSIFIER,1,14,282,14,154.0,0.06666666666666667,0.06666666666666667,0.5096846846846846,0.01936936936936907,0.06666666666666667
BOOKKEEPER,3,RANDOM_FOREST,NONE,0,0,302,55,0.0,0.0,0.0,0.7391631547260686,0.0,0.0
BOOKKEEPER,3,RANDOM_FOREST,BESTFIRST,0,0,302,55,0.0,0.0,0.0,0.5973810957254666,0.0,0.0
BOOKKEEPER,3,RANDOM_FOREST,GREEDYSTEPWISE,0,0,302,55,0.0,0.0,0.0,0.5973810957254666,0.0,0.0
BOOKKEEPER,3,RANDOM_FOREST,OVERSAMPLING,0,0,302,55,0.0,0.0,0.0,0.6918422636965683,0.0,0.0
BOOKKEEPER,3,RANDOM_FOREST,UNDERSAMPLING,0,0,302,55,0.0,0.0,0.0,0.6664358819987959,0.0,0.0
BOOKKEEPER,3,RANDOM_FOREST,SMOTE,0,0,302,55,0.0,0.0,0.0,0.6178807947019868,0.0,0.0
BOOKKEEPER,3,RANDOM_FOREST,COST_SENSITIVE_CLASSIFIER,0,0,302,55,550.0,0.0,0.0,0.5,0.0,0.0
BOOKKEEPER,4,RANDOM_FOREST,NONE,0,0,342,35,0.0,0.0,0.0,0.6240601503759399,0.0,0.0
BOOKKEEPER,4,RANDOM_FOREST,BESTFIRST,0,0,342,35,0.0,0.0,0.0,0.5,0.0,0.0
BOOKKEEPER,4,RANDOM_FOREST,GREEDYSTEPWISE,0,0,342,35,0.0,0.0,0.0,0.5,0.0,0.0
BOOKKEEPER,4,RANDOM_FOREST,OVERSAMPLING,0,0,342,35,0.0,0.0,0.0,0.637468671679198,0.0,0.0
BOOKKEEPER,4,RANDOM_FOREST,UNDERSAMPLING,0,0,342,35,0.0,0.0,0.0,0.6622807017543859,0.0,0.0
BOOKKEEPER,4,RANDOM_FOREST,SMOTE,0,0,342,35,0.0,0.0,0.0,0.5840852130325814,0.0,0.0
BOOKKEEPER,4,RANDOM_FOREST,COST_SENSITIVE_CLASSIFIER,0,0,342,35,350.0,0.0,0.0,0.5,0.0,0.0
BOOKKEEPER,5,RANDOM_FOREST,NONE,22,55,302,32,0.0,0.2857142857142857,0.4074074074074074,0.7510633883182902,0.21456342668863268,0.33587786259541985
BOOKKEEPER,5,RANDOM_FOREST,BESTFIRST,10,22,335,44,0.0,0.3125,0.18518518518518517,0.5392156862745098,0.14938852304797712,0.2325581395348837
BOOKKEEPER,5,RANDOM_FOREST,GREEDYSTEPWISE,14,19,338,40,0.0,0.42424242424242425,0.25925925925925924,0.5292820832036518,0.24676171838598437,0.3218390804597701
BOOKKEEPER,5,RANDOM_FOREST,OVERSAMPLING,25,52,305,29,0.0,0.3246753246753247,0.46296296296296297,0.749740636995539,0.2687314662273476,0.38167938931297707
BOOKKEEPER,5,RANDOM_FOREST,UNDERSAMPLING,51,240,117,3,0.0,0.17525773195876287,0.9444444444444444,0.6025002593630044,0.0950827693060426,0.29565217391304344
BOOKKEEPER,5,RANDOM_FOREST,SMOTE,28,91,266,26,0.0,0.23529411764705882,0.5185185185185185,0.6868710447141819,0.1744862749137355,0.3236994219653179
BOOKKEEPER,5,RANDOM_FOREST,COST_SENSITIVE_CLASSIFIER,49,189,168,5,239.0,0.20588235294117646,0.9074074074074074,0.6889978213507625,0.15453620053441916,0.3356164383561644
