ID,Size,Predicted %,Actual value
0,115,5.487961410300925E-5,NO
1,329,5.8989046946722857E-5,NO
2,35,5.3019184018005344E-5,NO
3,390,5.879232445632503E-5,NO
4,84,5.487961410300925E-5,NO
5,70,5.3019184018005344E-5,NO
6,92,5.487961410300925E-5,NO
7,89,5.487961410300925E-5,NO
8,63,5.3019184018005344E-5,NO
9,51,5.3019184018005344E-5,NO
10,147,5.64330958859601E-5,NO
11,179,5.765029499431222E-5,NO
12,282,5.8989046946722857E-5,NO
13,295,5.8989046946722857E-5,NO
14,106,1.981254475206833E-4,NO
15,47,5.3019184018005344E-5,NO
16,45,5.3019184018005344E-5,NO
17,83,2.6061793880832626E-4,YES
18,90,5.487961410300925E-5,NO
19,721,0.03624523047441895,YES
20,62,5.3019184018005344E-5,NO
21,35,5.3019184018005344E-5,NO
22,172,5.64330958859601E-5,NO
23,97,2.737005839037585E-4,NO
24,27,5.3019184018005344E-5,NO
25,191,5.765029499431222E-5,NO
26,66,5.3019184018005344E-5,NO
27,82,5.487961410300925E-5,NO
28,43,5.3019184018005344E-5,NO
29,189,5.765029499431222E-5,YES
30,101,5.487961410300925E-5,NO
31,87,5.487961410300925E-5,NO
32,530,0.003853536814455613,NO
33,166,0.007553419427290965,NO
34,44,5.3019184018005344E-5,NO
35,308,5.8989046946722857E-5,YES
36,50,5.3019184018005344E-5,NO
37,437,5.811825069913207E-5,NO
38,74,5.3019184018005344E-5,NO
39,62,5.3019184018005344E-5,NO
40,65,5.3019184018005344E-5,NO
41,48,5.3019184018005344E-5,NO
42,46,5.3019184018005344E-5,NO
43,579,9.21322647337357E-4,YES
44,90,5.487961410300925E-5,NO
45,109,5.487961410300925E-5,NO
46,876,1.0,NO
47,92,5.487961410300925E-5,NO
48,226,5.765029499431222E-5,NO
49,356,0.4225725989297992,NO
50,56,5.3019184018005344E-5,NO
51,74,5.3019184018005344E-5,NO
52,31,5.3019184018005344E-5,NO
53,28,5.3019184018005344E-5,NO
54,4088,1.2901252287466903E-12,NO
55,47,5.3019184018005344E-5,NO
56,221,5.765029499431222E-5,NO
57,377,5.908450191970207E-5,NO
58,1154,0.9277112079339441,YES
59,128,2.037329748210737E-4,NO
60,183,5.765029499431222E-5,NO
61,58,5.3019184018005344E-5,NO
62,877,9.719302238098699E-4,YES
63,60,2.1004764546398198E-4,NO
64,42,5.3019184018005344E-5,NO
65,45,5.3019184018005344E-5,NO
66,752,0.007153777600046173,YES
67,84,5.487961410300925E-5,NO
68,143,5.64330958859601E-5,NO
69,106,1.981254475206833E-4,NO
70,62,5.3019184018005344E-5,NO
71,61,2.1004764546398198E-4,NO
72,148,5.64330958859601E-5,NO
73,111,5.487961410300925E-5,NO
74,129,5.64330958859601E-5,NO
75,24,5.0886178017441324E-5,NO
76,422,5.879232445632503E-5,YES
77,131,5.64330958859601E-5,NO
78,185,9.538259641843394E-4,NO
79,38,5.3019184018005344E-5,NO
80,69,5.3019184018005344E-5,NO
81,804,4.459753332460424E-5,NO
82,109,5.487961410300925E-5,NO
83,85,5.487961410300925E-5,NO
84,160,5.64330958859601E-5,NO
85,156,5.64330958859601E-5,NO
86,90,5.487961410300925E-5,NO
87,88,5.487961410300925E-5,YES
88,361,0.0039517213503518795,YES
89,155,5.64330958859601E-5,NO
90,273,5.8507835632207135E-5,YES
91,86,5.487961410300925E-5,NO
92,497,0.5374398039641592,NO
93,134,5.64330958859601E-5,NO
94,27,5.3019184018005344E-5,NO
95,111,5.487961410300925E-5,NO
96,39,5.3019184018005344E-5,NO
97,31,1.934585892603283E-4,NO
98,159,5.64330958859601E-5,NO
99,64,5.3019184018005344E-5,NO
100,37,5.3019184018005344E-5,NO
101,162,5.64330958859601E-5,NO
102,76,5.3019184018005344E-5,NO
103,43,5.3019184018005344E-5,NO
104,666,5.196710110031358E-5,NO
105,74,5.3019184018005344E-5,NO
106,192,0.004074401718013433,NO
107,48,5.3019184018005344E-5,NO
108,263,2.112219905995169E-4,NO
109,1026,0.01591791750539628,YES
110,45,5.3019184018005344E-5,NO
111,596,0.004976818163037125,NO
112,358,5.908450191970207E-5,NO
113,136,5.64330958859601E-5,NO
114,89,5.487961410300925E-5,NO
115,191,5.765029499431222E-5,NO
116,96,5.487961410300925E-5,NO
117,106,2.709735900142078E-4,NO
118,237,2.112219905995169E-4,NO
119,565,0.0012724109465396308,NO
120,346,5.908450191970207E-5,NO
121,77,5.487961410300925E-5,NO
122,47,5.3019184018005344E-5,NO
123,123,5.487961410300925E-5,NO
124,69,5.3019184018005344E-5,NO
125,34,5.3019184018005344E-5,NO
126,252,5.8507835632207135E-5,NO
127,132,5.008896032423383E-4,NO
128,25,5.0886178017441324E-5,NO
129,73,5.3019184018005344E-5,NO
130,93,5.487961410300925E-5,NO
131,624,5.3970603336012234E-5,NO
132,108,5.487961410300925E-5,NO
133,323,5.8989046946722857E-5,NO
134,49,5.3019184018005344E-5,NO
135,213,5.765029499431222E-5,NO
136,47,2.0393053752948E-4,NO
137,101,5.487961410300925E-5,NO
138,34,5.3019184018005344E-5,NO
139,36,5.3019184018005344E-5,NO
140,117,5.487961410300925E-5,NO
141,182,2.0568948666168857E-4,NO
142,550,5.568405647000256E-5,NO
143,70,5.3019184018005344E-5,NO
144,89,5.487961410300925E-5,NO
145,517,0.0012210717221258674,NO
146,94,5.487961410300925E-5,NO
147,50,5.3019184018005344E-5,NO
148,167,2.814465055802943E-4,YES
149,244,5.8507835632207135E-5,NO
150,152,7.374704734692932E-4,NO
151,27,5.3019184018005344E-5,NO
152,142,5.511705915150898E-4,NO
153,460,5.811825069913207E-5,YES
154,47,5.3019184018005344E-5,NO
