ID,Size,Predicted %,Actual value
0,68,3.3503209083114065E-6,YES
1,115,9.931791328427226E-7,NO
2,329,1.0751040416362173E-6,NO
3,35,9.87765864187109E-7,NO
4,77,3.5523858683896183E-6,NO
5,63,9.87765864187109E-7,NO
6,51,9.87765864187109E-7,NO
7,179,1.0145787007689463E-6,NO
8,282,1.0508931805352787E-6,NO
9,53,2.959780045156907E-6,NO
10,106,9.931791328427226E-7,NO
11,81,3.5523858683896183E-6,NO
12,47,9.87765864187109E-7,NO
13,45,9.87765864187109E-7,NO
14,90,9.931791328427226E-7,NO
15,860,2.6530477205681094E-5,YES
16,62,9.87765864187109E-7,NO
17,35,9.87765864187109E-7,NO
18,172,1.0145787007689463E-6,NO
19,97,9.931791328427226E-7,NO
20,27,9.87765864187109E-7,NO
21,191,1.0145787007689463E-6,NO
22,43,9.87765864187109E-7,NO
23,45,2.912158140990121E-6,NO
24,63,3.034696997776384E-6,NO
25,530,1.2191436181285552E-6,NO
26,308,1.0508931805352787E-6,YES
27,50,9.87765864187109E-7,NO
28,437,1.1369604136648514E-6,NO
29,74,9.931791328427226E-7,NO
30,62,9.87765864187109E-7,NO
31,48,9.87765864187109E-7,NO
32,109,9.931791328427226E-7,YES
33,226,1.0307902988136574E-6,NO
34,356,1.0751040416362173E-6,NO
35,28,9.87765864187109E-7,NO
36,4088,0.1691228481725234,NO
37,47,9.87765864187109E-7,NO
38,1248,0.014241215564089886,YES
39,128,1.0020856170178029E-6,NO
40,877,5.713536765688316E-6,YES
41,83,3.5523858683896183E-6,NO
42,849,6.910091185931755E-6,YES
43,143,1.0020856170178029E-6,NO
44,43,2.912158140990121E-6,NO
45,49,2.959780045156907E-6,NO
46,24,9.85789323915863E-7,NO
47,131,1.0020856170178029E-6,NO
48,199,1.9799002402561492E-5,NO
49,38,9.87765864187109E-7,NO
50,69,9.87765864187109E-7,NO
51,804,1.542207760218196E-6,NO
52,85,9.931791328427226E-7,NO
53,156,1.0020856170178029E-6,NO
54,90,9.931791328427226E-7,NO
55,88,9.931791328427226E-7,YES
56,86,9.931791328427226E-7,NO
57,476,4.124645833564726E-6,YES
58,134,1.0020856170178029E-6,NO
59,27,9.87765864187109E-7,NO
60,39,9.87765864187109E-7,NO
61,37,9.87765864187109E-7,NO
62,162,1.0020856170178029E-6,NO
63,76,9.931791328427226E-7,NO
64,666,1.3893020410525991E-6,NO
65,189,2.079393694025732E-5,NO
66,263,1.0307902988136574E-6,YES
67,1059,4.231222916449167E-5,YES
