ID,Size,Predicted %,Actual value
0,58,0.029210652184780146,NO
1,126,0.029210652184780146,NO
2,66,0.029210652184780146,NO
3,64,0.029210652184780146,NO
4,129,0.029210652184780146,YES
5,78,0.029210652184780146,NO
6,53,0.029210652184780146,NO
7,226,0.029210652184780146,YES
8,84,0.029210652184780146,NO
9,26,0.029210652184780146,NO
10,67,0.029210652184780146,NO
11,75,0.029210652184780146,NO
12,41,0.029210652184780146,NO
13,109,0.029210652184780146,NO
14,41,0.029210652184780146,NO
15,40,0.029210652184780146,NO
16,73,0.029210652184780146,NO
17,37,0.029210652184780146,NO
18,646,0.029210652184780146,NO
19,208,0.029210652184780146,NO
20,187,0.029210652184780146,NO
21,147,0.029210652184780146,NO
22,365,0.029210652184780146,NO
23,221,0.029210652184780146,NO
24,84,0.029210652184780146,NO
25,176,0.029210652184780146,NO
26,37,0.029210652184780146,NO
27,89,0.029210652184780146,NO
28,135,0.029210652184780146,NO
29,37,0.029210652184780146,NO
30,215,0.029210652184780146,YES
31,489,0.029210652184780146,NO
32,54,0.029210652184780146,NO
33,86,0.029210652184780146,NO
34,42,0.029210652184780146,NO
35,61,0.029210652184780146,NO
36,127,0.029210652184780146,NO
37,121,0.029210652184780146,YES
38,54,0.029210652184780146,NO
39,42,0.029210652184780146,NO
40,39,0.029210652184780146,NO
41,75,0.029210652184780146,NO
42,264,0.029210652184780146,NO
43,301,0.029210652184780146,NO
44,426,0.029210652184780146,NO
45,36,0.029210652184780146,NO
46,42,0.029210652184780146,NO
47,125,0.029210652184780146,NO
48,300,0.029210652184780146,NO
49,43,0.029210652184780146,NO
50,185,0.029210652184780146,NO
51,232,0.029210652184780146,NO
52,75,0.029210652184780146,NO
53,203,0.029210652184780146,NO
54,90,0.029210652184780146,NO
55,66,0.029210652184780146,NO
56,75,0.029210652184780146,NO
57,204,0.029210652184780146,NO
58,74,0.029210652184780146,NO
59,43,0.029210652184780146,NO
60,180,0.029210652184780146,YES
61,99,0.029210652184780146,NO
62,120,0.029210652184780146,NO
63,73,0.029210652184780146,NO
64,73,0.029210652184780146,NO
65,103,0.029210652184780146,NO
66,287,0.029210652184780146,NO
67,130,0.029210652184780146,YES
68,115,0.029210652184780146,NO
69,152,0.029210652184780146,NO
70,144,0.029210652184780146,NO
71,101,0.029210652184780146,NO
72,102,0.029210652184780146,NO
73,40,0.029210652184780146,NO
74,225,0.029210652184780146,NO
75,103,0.029210652184780146,NO
76,32,0.029210652184780146,NO
77,250,0.029210652184780146,NO
78,84,0.029210652184780146,NO
79,170,0.029210652184780146,NO
80,165,0.029210652184780146,NO
81,102,0.029210652184780146,NO
82,189,0.029210652184780146,NO
83,72,0.029210652184780146,NO
84,89,0.029210652184780146,YES
85,143,0.029210652184780146,NO
86,319,0.029210652184780146,NO
87,19,0.029210652184780146,NO
88,32,0.029210652184780146,NO
89,278,0.029210652184780146,NO
90,69,0.029210652184780146,NO
91,75,0.029210652184780146,NO
92,173,0.029210652184780146,YES
93,28,0.029210652184780146,NO
94,195,0.029210652184780146,NO
95,86,0.029210652184780146,NO
96,44,0.029210652184780146,NO
97,100,0.029210652184780146,YES
98,48,0.029210652184780146,NO
99,28,0.029210652184780146,NO
100,269,0.029210652184780146,NO
101,31,0.029210652184780146,NO
102,32,0.029210652184780146,NO
103,215,0.029210652184780146,YES
104,441,0.029210652184780146,YES
105,149,0.029210652184780146,NO
106,102,0.029210652184780146,NO
107,156,0.029210652184780146,NO
108,34,0.029210652184780146,NO
109,110,0.029210652184780146,NO
110,28,0.029210652184780146,NO
111,48,0.029210652184780146,YES
112,68,0.029210652184780146,NO
113,66,0.029210652184780146,NO
114,164,0.029210652184780146,YES
115,65,0.029210652184780146,NO
116,166,0.029210652184780146,NO
117,510,0.029210652184780146,NO
118,27,0.029210652184780146,NO
119,38,0.029210652184780146,NO
120,29,0.029210652184780146,NO
121,110,0.029210652184780146,NO
122,50,0.029210652184780146,NO
123,159,0.029210652184780146,YES
124,39,0.029210652184780146,NO
125,19,0.029210652184780146,NO
126,193,0.029210652184780146,NO
127,47,0.029210652184780146,NO
128,52,0.029210652184780146,NO
129,35,0.029210652184780146,NO
130,56,0.029210652184780146,NO
131,67,0.029210652184780146,NO
