ID,Size,Predicted %,Actual value
0,66,8.545547769612032E-5,NO
1,107,1.7088174982911826E-4,NO
2,63,8.545547769612032E-5,NO
3,110,2.56278831368529E-4,NO
4,75,7.32493407559332E-5,NO
5,58,5.122950819672131E-4,NO
6,208,5.122950819672131E-4,NO
7,42,1.0254306808859722E-4,NO
8,45,7.32493407559332E-5,NO
9,82,1.7088174982911826E-4,NO
10,31,5.697356426618049E-5,NO
11,157,2.56278831368529E-4,NO
12,66,8.545547769612032E-5,NO
13,40,2.229554980825827E-5,NO
14,71,1.7088174982911826E-4,NO
15,36,8.545547769612032E-5,NO
16,594,5.122950819672131E-4,NO
17,245,5.122950819672131E-4,NO
18,130,5.122950819672131E-4,NO
19,40,2.229554980825827E-5,NO
20,93,1.7088174982911826E-4,NO
21,36,8.545547769612032E-5,NO
22,123,5.122950819672131E-4,NO
23,36,8.545547769612032E-5,NO
24,214,5.122950819672131E-4,YES
25,420,5.122950819672131E-4,NO
26,609,5.122950819672131E-4,NO
27,41,8.545547769612032E-5,NO
28,33,1.281722635221738E-4,NO
29,50,1.281722635221738E-4,NO
30,41,8.545547769612032E-5,NO
31,72,5.127679212388472E-5,NO
32,311,5.122950819672131E-4,NO
33,35,1.7088174982911826E-4,NO
34,448,5.122950819672131E-4,NO
35,40,2.229554980825827E-5,NO
36,109,5.122950819672131E-4,NO
37,115,2.56278831368529E-4,NO
38,223,5.122950819672131E-4,NO
39,102,1.7088174982911826E-4,NO
40,221,5.122950819672131E-4,NO
41,235,2.56278831368529E-4,NO
42,177,5.122950819672131E-4,NO
43,66,8.545547769612032E-5,NO
44,202,5.122950819672131E-4,NO
45,74,1.7088174982911826E-4,NO
46,96,1.281722635221738E-4,NO
47,72,5.127679212388472E-5,NO
48,75,7.32493407559332E-5,NO
49,89,2.56278831368529E-4,NO
50,285,5.122950819672131E-4,NO
51,539,5.122950819672131E-4,NO
52,167,2.56278831368529E-4,NO
53,40,5.122950819672131E-4,NO
54,65,1.7088174982911826E-4,NO
55,139,1.7088174982911826E-4,NO
56,98,1.7088174982911826E-4,NO
57,75,7.32493407559332E-5,NO
58,87,2.56278831368529E-4,NO
59,40,2.229554980825827E-5,NO
60,27,1.7088174982911826E-4,NO
61,40,2.229554980825827E-5,NO
62,208,5.122950819672131E-4,NO
63,93,1.7088174982911826E-4,NO
64,32,4.2731390479446196E-5,NO
65,235,2.56278831368529E-4,NO
66,94,5.122950819672131E-4,NO
67,144,5.122950819672131E-4,NO
68,102,1.7088174982911826E-4,NO
69,91,1.7088174982911826E-4,NO
70,72,5.127679212388472E-5,NO
71,85,1.7088174982911826E-4,NO
72,121,2.56278831368529E-4,NO
73,318,5.122950819672131E-4,NO
74,61,2.56278831368529E-4,NO
75,272,2.56278831368529E-4,NO
76,68,1.7088174982911826E-4,NO
77,74,1.7088174982911826E-4,NO
78,193,5.122950819672131E-4,NO
79,43,1.0254306808859722E-4,NO
80,87,5.122950819672131E-4,YES
81,63,8.545547769612032E-5,NO
82,28,6.409434687860531E-5,NO
83,32,4.2731390479446196E-5,NO
84,448,5.122950819672131E-4,NO
85,136,5.122950819672131E-4,NO
86,135,5.122950819672131E-4,NO
87,53,1.281722635221738E-4,NO
88,59,1.281722635221738E-4,NO
89,62,1.7088174982911826E-4,NO
90,453,5.122950819672131E-4,NO
91,66,8.545547769612032E-5,NO
92,29,1.7088174982911826E-4,NO
93,49,8.545547769612032E-5,NO
94,50,1.281722635221738E-4,NO
95,143,2.56278831368529E-4,NO
96,38,1.281722635221738E-4,NO
97,194,5.122950819672131E-4,NO
98,85,1.7088174982911826E-4,NO
99,151,5.122950819672131E-4,NO
100,54,5.122950819672131E-4,NO
101,95,5.122950819672131E-4,NO
102,63,8.545547769612032E-5,NO
103,46,1.281722635221738E-4,NO
104,377,5.122950819672131E-4,NO
105,52,2.56278831368529E-4,NO
106,287,5.122950819672131E-4,NO
107,52,2.56278831368529E-4,NO
108,35,1.7088174982911826E-4,NO
109,30,2.56278831368529E-4,NO
110,46,1.281722635221738E-4,NO
111,172,5.122950819672131E-4,NO
112,140,5.122950819672131E-4,NO
113,28,6.409434687860531E-5,NO
114,151,5.122950819672131E-4,NO
115,75,7.32493407559332E-5,NO
116,181,5.122950819672131E-4,NO
117,445,5.122950819672131E-4,NO
118,114,5.122950819672131E-4,NO
119,215,2.56278831368529E-4,YES
120,59,1.281722635221738E-4,NO
121,101,1.7088174982911826E-4,NO
122,168,2.56278831368529E-4,NO
123,94,1.7088174982911826E-4,NO
124,69,8.545547769612032E-5,NO
125,483,5.122950819672131E-4,NO
126,45,7.32493407559332E-5,NO
127,72,5.127679212388472E-5,NO
128,100,1.7088174982911826E-4,NO
129,112,1.281722635221738E-4,NO
130,264,5.122950819672131E-4,NO
131,40,2.229554980825827E-5,NO
132,56,1.7088174982911826E-4,NO
133,46,1.281722635221738E-4,NO
134,32,4.2731390479446196E-5,NO
135,32,4.2731390479446196E-5,NO
136,53,1.281722635221738E-4,NO
137,144,5.122950819672131E-4,NO
138,33,1.281722635221738E-4,NO
139,353,5.122950819672131E-4,NO
140,86,1.7088174982911826E-4,NO
141,79,2.56278831368529E-4,NO
142,112,5.122950819672131E-4,NO
143,31,5.697356426618049E-5,NO
144,49,8.545547769612032E-5,NO
145,49,8.545547769612032E-5,NO
146,146,5.122950819672131E-4,NO
147,19,1.0254306808859722E-4,NO
148,156,5.122950819672131E-4,NO
149,41,8.545547769612032E-5,NO
150,86,1.7088174982911826E-4,NO
151,152,5.122950819672131E-4,NO
152,216,5.122950819672131E-4,NO
153,111,1.7088174982911826E-4,NO
154,110,2.56278831368529E-4,NO
155,83,5.122950819672131E-4,NO
156,56,1.7088174982911826E-4,NO
157,40,2.229554980825827E-5,NO
158,40,2.229554980825827E-5,NO
159,102,5.122950819672131E-4,NO
160,100,1.7088174982911826E-4,NO
161,39,1.281722635221738E-4,NO
162,90,1.281722635221738E-4,NO
163,40,2.229554980825827E-5,NO
164,111,1.7088174982911826E-4,NO
165,254,5.122950819672131E-4,NO
166,69,5.122950819672131E-4,NO
167,31,5.697356426618049E-5,NO
168,48,1.281722635221738E-4,NO
169,39,1.281722635221738E-4,NO
170,48,1.281722635221738E-4,NO
171,91,1.7088174982911826E-4,NO
172,191,5.122950819672131E-4,NO
173,32,4.2731390479446196E-5,NO
174,157,2.56278831368529E-4,NO
175,40,2.229554980825827E-5,NO
176,362,5.122950819672131E-4,NO
177,38,1.281722635221738E-4,NO
178,56,1.7088174982911826E-4,NO
179,174,2.56278831368529E-4,NO
180,185,5.122950819672131E-4,NO
181,28,6.409434687860531E-5,NO
182,65,1.7088174982911826E-4,NO
183,40,2.229554980825827E-5,NO
