ID,Size,Predicted %,Actual value
0,209,0.32,NO
1,224,0.43,NO
2,109,0.04,NO
3,60,0.06,NO
4,78,0.29,NO
5,34,0.0165,NO
6,130,0.165,NO
7,114,0.0,YES
8,211,0.28,NO
9,63,0.25,NO
10,31,0.0,NO
11,65,0.34,NO
12,90,0.08,NO
13,166,0.4,NO
14,65,0.34,NO
15,31,0.0,NO
16,80,0.57,NO
17,47,0.17,NO
18,35,0.06416666666666665,NO
19,106,0.46,NO
20,257,0.14,NO
21,70,0.02,NO
22,77,0.28,YES
23,153,0.34,YES
24,124,0.31,YES
25,52,0.3503333333333334,NO
26,71,0.0,NO
27,143,0.38,NO
28,143,0.58,NO
29,265,0.49,NO
30,55,0.22,NO
31,60,0.06,NO
32,233,0.65,NO
33,167,0.42,NO
34,123,0.08,NO
35,50,0.03883333333333334,NO
36,96,0.42,NO
37,195,0.62,NO
38,309,0.09,NO
39,73,0.025,NO
40,219,0.68,NO
41,422,0.19,NO
42,41,0.0,NO
43,44,0.0,NO
44,62,0.21,NO
45,468,0.46,YES
46,32,0.0,NO
47,102,0.045714285714285714,NO
48,93,0.4766666666666666,NO
49,93,0.4766666666666666,NO
50,94,0.63,NO
51,153,0.34,NO
52,107,0.05,NO
53,65,0.34,NO
54,47,0.17,NO
55,103,0.09,NO
56,61,0.26,NO
57,80,0.57,NO
58,56,0.25666666666666665,NO
59,203,0.53,NO
60,90,0.3,NO
61,317,0.6,YES
62,30,0.0,NO
63,28,0.0,NO
64,63,0.25,NO
65,268,0.52,YES
66,374,0.56,YES
67,26,0.0,NO
68,85,0.34,YES
69,121,0.19,NO
70,52,0.3503333333333334,NO
71,82,0.56,NO
72,79,0.14,NO
73,103,0.09,NO
74,26,0.0,NO
75,371,0.49,NO
76,182,0.34,NO
77,53,0.5755,NO
78,109,0.04,NO
79,66,0.05,NO
80,37,0.0,NO
81,249,0.32,NO
82,49,0.023,NO
83,78,0.29,NO
84,57,0.2766666666666666,NO
85,53,0.29,YES
86,31,0.0,NO
87,42,0.0,NO
88,297,0.34,NO
89,71,0.14,NO
90,31,0.0,NO
91,32,0.0,NO
92,291,0.2,NO
93,142,0.7,NO
94,28,0.0,NO
95,339,0.35,NO
96,70,0.41,NO
97,44,0.0,NO
98,32,0.0,NO
99,45,0.0,NO
100,62,0.21,NO
101,43,0.002,NO
102,319,0.05,YES
103,110,0.03,NO
104,309,0.73,YES
105,58,0.29,YES
106,83,0.26,NO
107,201,0.1675,NO
108,197,0.37,NO
109,334,0.14,YES
110,80,0.09,NO
111,41,0.0,NO
112,116,0.55,NO
113,44,0.0,NO
114,87,0.32,NO
115,83,0.35,NO
116,70,0.02,NO
117,30,0.0,NO
118,83,0.12,NO
119,141,0.7,NO
120,52,0.3503333333333334,NO
121,65,0.34,NO
122,69,0.36,NO
123,100,0.06,NO
124,53,0.35,NO
125,60,0.06,NO
126,22,0.0,NO
127,73,0.025,NO
128,34,0.0165,NO
129,155,0.06,NO
130,91,0.11666666666666664,NO
131,78,0.29,NO
132,252,0.51,YES
133,114,0.0,NO
134,117,0.0,NO
135,77,0.13,NO
136,65,0.34,NO
137,33,0.0,NO
138,40,0.0,NO
139,688,0.78,YES
140,413,0.15,NO
141,30,0.0,NO
142,75,0.14666666666666664,NO
143,27,0.0,NO
144,122,0.12,NO
145,90,0.342,NO
146,95,0.45,NO
147,74,0.045,NO
148,102,0.51,YES
149,41,0.0,NO
150,239,0.55,NO
151,117,0.22,NO
152,54,0.6505,NO
153,104,0.14,NO
154,35,0.06416666666666665,NO
155,372,0.19,NO
156,95,0.45,NO
157,130,0.165,NO
158,33,0.0,NO
159,92,0.29666666666666663,NO
160,151,0.34,NO
161,55,0.22,NO
162,63,0.13,YES
163,96,0.42,NO
164,43,0.002,NO
165,26,0.0,NO
166,69,0.03,NO
167,254,0.76,NO
168,137,0.34,NO
169,41,0.0,NO
170,69,0.12,YES
171,25,0.0,NO
172,220,0.3,NO
173,100,0.06,NO
174,38,0.0,NO
175,256,0.13,NO
176,66,0.05,NO
177,76,0.14333333333333334,NO
178,154,0.39,NO
179,42,0.0,NO
180,125,0.11,NO
181,99,0.23,NO
182,664,0.78,YES
183,163,0.45,NO
184,227,0.5,NO
185,132,0.5,NO
186,50,0.03883333333333334,NO
187,219,0.31,NO
188,33,0.0,NO
189,66,0.05,NO
190,538,0.75,YES
191,32,0.0,NO
192,116,0.0,NO
193,78,0.26,NO
194,51,0.39435714285714285,NO
195,66,0.05,NO
196,66,0.32,NO
197,288,0.2,NO
198,37,0.02,NO
199,55,0.22,NO
200,101,0.03,NO
201,28,0.0,NO
202,91,0.11666666666666664,NO
203,80,0.57,NO
204,34,0.0165,NO
205,346,0.37,YES
206,98,0.09,NO
207,33,0.0,NO
208,112,0.0,NO
209,431,0.47,YES
210,81,0.53,NO
211,100,0.17,NO
212,44,0.0,NO
213,58,0.05452380952380953,NO
214,30,0.03,NO
215,172,0.32,NO
216,51,0.39435714285714285,NO
217,68,0.09,YES
218,145,0.53,NO
219,235,0.69,NO
220,67,0.13,NO
221,51,0.39435714285714285,NO
222,54,0.6505,NO
223,38,0.0,NO
224,31,0.0,NO
225,101,0.03,NO
226,46,0.03,NO
227,117,0.0,NO
228,36,0.0,NO
229,57,0.2766666666666666,NO
230,55,0.22,NO
231,100,0.61,YES
232,50,0.03883333333333334,NO
233,28,0.0,NO
234,64,0.7,NO
235,124,0.25,NO
236,54,0.6505,NO
237,121,0.19,NO
238,119,0.37,NO
239,29,0.0,NO
240,26,0.0,NO
241,212,0.7,NO
242,70,0.02,NO
243,97,0.17,NO
244,36,0.0,NO
245,47,0.17,NO
246,191,0.55,YES
247,39,0.0,NO
248,37,0.0,NO
249,360,0.51,NO
250,156,0.72,NO
251,33,0.0,NO
252,113,0.0,NO
253,118,0.01,NO
254,24,0.0,NO
