ID,Size,Predicted %,Actual value
0,66,6.680952277597039E-12,NO
1,107,6.680952277597039E-12,NO
2,63,6.680952277597039E-12,NO
3,110,6.680952277597039E-12,NO
4,75,6.680952277597039E-12,NO
5,58,6.680952277597039E-12,NO
6,208,3.183326287008618E-10,NO
7,42,1.9980590019783296E-12,NO
8,45,1.9980590019783296E-12,NO
9,82,6.680952277597039E-12,NO
10,31,1.9980590019783296E-12,NO
11,157,3.183326287008618E-10,NO
12,66,6.680952277597039E-12,NO
13,40,1.9980590019783296E-12,NO
14,71,6.680952277597039E-12,NO
15,36,1.9980590019783296E-12,NO
16,594,1.0,NO
17,245,3.183326287008618E-10,NO
18,130,6.680952277597039E-12,NO
19,40,1.9980590019783296E-12,NO
20,93,6.680952277597039E-12,NO
21,36,1.9980590019783296E-12,NO
22,123,6.680952277597039E-12,NO
23,36,1.9980590019783296E-12,NO
24,214,3.183326287008618E-10,YES
25,420,0.019496141017436817,NO
26,609,1.0,NO
27,41,1.9980590019783296E-12,NO
28,33,1.9980590019783296E-12,NO
29,50,1.9980590019783296E-12,NO
30,41,1.9980590019783296E-12,NO
31,72,6.680952277597039E-12,NO
32,311,4.0477828064425205E-7,NO
33,35,1.9980590019783296E-12,NO
34,448,0.019496141017436817,NO
35,40,1.9980590019783296E-12,NO
36,109,6.680952277597039E-12,NO
37,115,6.680952277597039E-12,NO
38,223,3.183326287008618E-10,NO
39,102,6.680952277597039E-12,NO
40,221,3.183326287008618E-10,NO
41,235,3.183326287008618E-10,NO
42,177,3.183326287008618E-10,NO
43,66,6.680952277597039E-12,NO
44,202,3.183326287008618E-10,NO
45,74,6.680952277597039E-12,NO
46,96,6.680952277597039E-12,NO
47,72,6.680952277597039E-12,NO
48,75,6.680952277597039E-12,NO
49,89,6.680952277597039E-12,NO
50,285,4.0477828064425205E-7,NO
51,539,0.9999754260356726,NO
52,167,3.183326287008618E-10,NO
53,40,1.9980590019783296E-12,NO
54,65,6.680952277597039E-12,NO
55,139,6.680952277597039E-12,NO
56,98,6.680952277597039E-12,NO
57,75,6.680952277597039E-12,NO
58,87,6.680952277597039E-12,NO
59,40,1.9980590019783296E-12,NO
60,27,1.9980590019783296E-12,NO
61,40,1.9980590019783296E-12,NO
62,208,3.183326287008618E-10,NO
63,93,6.680952277597039E-12,NO
64,32,1.9980590019783296E-12,NO
65,235,3.183326287008618E-10,NO
66,94,6.680952277597039E-12,NO
67,144,6.680952277597039E-12,NO
68,102,6.680952277597039E-12,NO
