ID,Size,Predicted %,Actual value
0,66,2.7276198788936776E-5,YES
1,126,1.636125654450262E-4,NO
2,63,2.7276198788936776E-5,NO
3,64,5.4549421776129175E-5,NO
4,129,1.636125654450262E-4,NO
5,78,1.636125654450262E-4,NO
6,53,1.636125654450262E-4,NO
7,208,1.636125654450262E-4,NO
8,84,1.636125654450262E-4,NO
9,26,1.636125654450262E-4,NO
10,67,4.091318222731364E-5,NO
11,41,2.7276198788936776E-5,NO
12,109,1.636125654450262E-4,NO
13,41,2.7276198788936776E-5,NO
14,40,1.636125654450262E-4,NO
15,73,1.3638471400125476E-5,NO
16,37,4.091318222731364E-5,NO
17,650,1.636125654450262E-4,NO
18,246,1.636125654450262E-4,YES
19,189,1.636125654450262E-4,NO
20,144,1.636125654450262E-4,NO
21,368,1.636125654450262E-4,NO
22,219,1.636125654450262E-4,YES
23,84,1.636125654450262E-4,NO
24,175,1.636125654450262E-4,NO
25,37,4.091318222731364E-5,NO
26,89,1.636125654450262E-4,NO
27,135,1.636125654450262E-4,YES
28,37,4.091318222731364E-5,NO
29,214,1.636125654450262E-4,YES
30,489,1.636125654450262E-4,NO
31,54,1.636125654450262E-4,NO
32,86,1.636125654450262E-4,NO
33,42,3.273108143493061E-5,NO
34,55,1.636125654450262E-4,NO
35,127,1.636125654450262E-4,NO
36,121,1.636125654450262E-4,YES
37,54,1.636125654450262E-4,NO
38,42,1.636125654450262E-4,NO
39,39,1.636125654450262E-4,NO
40,75,1.636125654450262E-4,NO
41,264,1.636125654450262E-4,NO
42,311,1.636125654450262E-4,NO
43,445,1.636125654450262E-4,YES
44,36,1.636125654450262E-4,NO
45,42,3.273108143493061E-5,NO
46,125,1.636125654450262E-4,NO
47,43,3.273108143493061E-5,NO
48,185,1.636125654450262E-4,NO
49,233,1.636125654450262E-4,YES
50,203,1.636125654450262E-4,NO
51,90,1.636125654450262E-4,NO
52,66,2.7276198788936776E-5,NO
53,75,1.636125654450262E-4,NO
54,204,1.636125654450262E-4,NO
55,74,1.636125654450262E-4,NO
56,43,1.636125654450262E-4,NO
57,99,1.636125654450262E-4,NO
58,120,1.636125654450262E-4,NO
59,73,1.636125654450262E-4,NO
60,73,1.3638471400125476E-5,NO
61,103,1.636125654450262E-4,NO
62,288,1.636125654450262E-4,NO
63,586,1.636125654450262E-4,YES
64,121,1.636125654450262E-4,NO
65,111,1.636125654450262E-4,YES
66,152,1.636125654450262E-4,NO
67,144,4.091318222731364E-5,NO
68,101,1.636125654450262E-4,NO
69,102,1.636125654450262E-4,NO
70,40,1.636125654450262E-4,NO
71,225,8.181966944853542E-5,NO
72,103,2.7276198788936776E-5,NO
73,32,1.3638471400125476E-5,NO
74,250,1.636125654450262E-4,NO
75,84,1.636125654450262E-4,NO
76,170,1.636125654450262E-4,NO
77,165,1.636125654450262E-4,NO
78,102,1.636125654450262E-4,NO
79,189,1.636125654450262E-4,NO
80,72,1.636125654450262E-4,NO
81,89,8.181966944853542E-5,NO
82,143,5.4549421776129175E-5,NO
83,319,1.636125654450262E-4,NO
84,19,3.273108143493061E-5,NO
85,32,1.636125654450262E-4,NO
86,281,1.636125654450262E-4,NO
87,69,3.273108143493061E-5,NO
88,75,2.3379781165248295E-5,NO
89,167,1.636125654450262E-4,YES
90,28,2.045742809214026E-5,NO
91,185,1.636125654450262E-4,NO
92,97,1.636125654450262E-4,NO
93,44,8.181966944853542E-5,NO
94,88,8.181966944853542E-5,YES
95,48,4.091318222731364E-5,NO
96,28,2.045742809214026E-5,NO
97,269,1.636125654450262E-4,NO
98,31,1.8184463194646498E-5,NO
99,32,1.3638471400125476E-5,NO
100,215,1.636125654450262E-4,NO
101,439,1.636125654450262E-4,YES
102,149,1.636125654450262E-4,NO
103,156,5.4549421776129175E-5,NO
104,34,1.636125654450262E-4,NO
105,135,1.636125654450262E-4,YES
106,28,1.636125654450262E-4,NO
107,48,4.091318222731364E-5,NO
108,68,1.636125654450262E-4,NO
109,66,2.7276198788936776E-5,NO
110,157,1.636125654450262E-4,YES
111,65,1.636125654450262E-4,NO
112,166,1.636125654450262E-4,NO
113,469,1.636125654450262E-4,NO
114,27,1.636125654450262E-4,NO
115,38,1.636125654450262E-4,NO
116,29,5.4549421776129175E-5,NO
117,110,1.636125654450262E-4,NO
118,50,4.091318222731364E-5,NO
119,159,1.636125654450262E-4,YES
120,39,4.091318222731364E-5,NO
121,19,3.273108143493061E-5,NO
122,193,1.636125654450262E-4,NO
123,47,1.636125654450262E-4,NO
124,52,1.636125654450262E-4,NO
125,35,1.636125654450262E-4,NO
126,56,1.636125654450262E-4,NO
127,67,4.091318222731364E-5,NO
128,345,1.636125654450262E-4,NO
129,382,1.636125654450262E-4,NO
130,52,8.181966944853542E-5,NO
131,289,1.636125654450262E-4,YES
132,45,2.3379781165248295E-5,NO
133,52,8.181966944853542E-5,NO
134,577,1.636125654450262E-4,NO
135,30,8.181966944853542E-5,NO
136,55,1.636125654450262E-4,NO
137,57,3.273108143493061E-5,NO
138,28,2.045742809214026E-5,NO
139,63,1.636125654450262E-4,NO
140,119,1.636125654450262E-4,NO
141,41,2.7276198788936776E-5,NO
142,74,1.636125654450262E-4,NO
143,178,1.636125654450262E-4,NO
144,30,8.181966944853542E-5,NO
145,396,1.636125654450262E-4,NO
146,41,1.636125654450262E-4,NO
147,109,1.636125654450262E-4,NO
148,208,1.636125654450262E-4,YES
149,57,1.636125654450262E-4,NO
150,37,4.091318222731364E-5,NO
151,165,8.181966944853542E-5,NO
152,94,5.4549421776129175E-5,NO
153,70,1.636125654450262E-4,NO
154,483,1.636125654450262E-4,NO
155,113,1.636125654450262E-4,NO
156,46,4.091318222731364E-5,YES
157,39,4.091318222731364E-5,NO
158,62,1.636125654450262E-4,NO
159,149,1.636125654450262E-4,NO
160,100,8.181966944853542E-5,NO
161,55,1.636125654450262E-4,NO
162,28,2.045742809214026E-5,NO
163,133,1.636125654450262E-4,NO
164,252,1.636125654450262E-4,YES
165,52,1.636125654450262E-4,NO
166,41,2.7276198788936776E-5,NO
167,57,1.636125654450262E-4,NO
168,73,1.636125654450262E-4,YES
169,40,1.636125654450262E-4,NO
170,32,1.3638471400125476E-5,NO
171,67,1.636125654450262E-4,NO
172,162,1.636125654450262E-4,NO
173,161,1.636125654450262E-4,YES
174,33,4.091318222731364E-5,NO
175,87,1.636125654450262E-4,NO
176,81,5.4549421776129175E-5,NO
177,102,1.636125654450262E-4,NO
178,31,1.8184463194646498E-5,NO
179,19,3.273108143493061E-5,NO
180,43,1.636125654450262E-4,NO
181,38,1.636125654450262E-4,NO
182,83,1.636125654450262E-4,NO
183,52,1.636125654450262E-4,NO
184,41,2.7276198788936776E-5,NO
185,87,1.636125654450262E-4,NO
186,53,1.636125654450262E-4,NO
187,165,1.636125654450262E-4,NO
188,87,1.636125654450262E-4,NO
189,112,5.4549421776129175E-5,YES
190,59,1.636125654450262E-4,NO
191,440,1.636125654450262E-4,YES
192,110,8.181966944853542E-5,NO
193,83,1.636125654450262E-4,NO
194,54,1.636125654450262E-4,NO
195,41,2.7276198788936776E-5,NO
196,200,1.636125654450262E-4,YES
197,157,8.181966944853542E-5,NO
198,365,1.636125654450262E-4,NO
199,73,1.636125654450262E-4,NO
200,545,1.636125654450262E-4,YES
201,41,2.7276198788936776E-5,NO
202,53,4.091318222731364E-5,NO
203,118,1.636125654450262E-4,NO
204,132,1.636125654450262E-4,NO
205,100,8.181966944853542E-5,NO
206,78,1.636125654450262E-4,NO
207,109,1.636125654450262E-4,YES
208,40,7.1158170381123165E-6,NO
209,100,8.181966944853542E-5,NO
210,75,1.636125654450262E-4,NO
211,72,1.636125654450262E-4,NO
212,42,1.636125654450262E-4,NO
213,91,5.4549421776129175E-5,NO
214,41,2.7276198788936776E-5,NO
215,116,1.636125654450262E-4,NO
216,315,1.636125654450262E-4,NO
217,138,1.636125654450262E-4,NO
218,76,1.636125654450262E-4,NO
219,210,1.636125654450262E-4,YES
220,135,1.636125654450262E-4,NO
221,31,1.8184463194646498E-5,NO
222,94,1.636125654450262E-4,NO
223,42,1.636125654450262E-4,NO
224,48,4.091318222731364E-5,NO
225,40,7.1158170381123165E-6,NO
226,124,1.636125654450262E-4,YES
227,185,1.636125654450262E-4,NO
228,45,1.636125654450262E-4,NO
229,92,8.181966944853542E-5,NO
230,113,1.636125654450262E-4,YES
231,105,1.636125654450262E-4,NO
232,29,1.636125654450262E-4,NO
233,170,1.636125654450262E-4,NO
234,196,1.636125654450262E-4,YES
235,99,1.636125654450262E-4,NO
236,40,7.1158170381123165E-6,NO
237,366,1.636125654450262E-4,NO
238,38,4.091318222731364E-5,NO
239,56,5.4549421776129175E-5,NO
240,206,1.636125654450262E-4,NO
241,243,1.636125654450262E-4,NO
242,66,2.7276198788936776E-5,NO
243,41,2.7276198788936776E-5,NO
244,41,2.7276198788936776E-5,NO
245,128,1.636125654450262E-4,NO
246,78,8.181966944853542E-5,NO
247,107,1.636125654450262E-4,NO
248,31,1.636125654450262E-4,NO
249,103,1.636125654450262E-4,NO
250,119,1.636125654450262E-4,NO
251,272,1.636125654450262E-4,NO
252,460,1.636125654450262E-4,NO
253,43,1.636125654450262E-4,NO
254,56,1.636125654450262E-4,YES
255,115,1.636125654450262E-4,YES
256,26,5.4549421776129175E-5,NO
257,114,1.636125654450262E-4,NO
258,46,1.636125654450262E-4,NO
259,47,8.181966944853542E-5,NO
260,41,1.636125654450262E-4,NO
261,64,5.4549421776129175E-5,YES
262,42,1.636125654450262E-4,NO
263,94,5.4549421776129175E-5,YES
264,65,1.636125654450262E-4,NO
265,66,1.636125654450262E-4,YES
266,33,4.091318222731364E-5,NO
267,78,8.181966944853542E-5,YES
268,84,1.636125654450262E-4,NO
269,49,1.636125654450262E-4,NO
270,122,1.636125654450262E-4,NO
271,113,1.636125654450262E-4,NO
272,135,1.636125654450262E-4,NO
273,196,1.636125654450262E-4,NO
274,130,1.636125654450262E-4,NO
275,158,1.636125654450262E-4,YES
276,179,1.636125654450262E-4,YES
277,33,1.636125654450262E-4,NO
278,75,2.3379781165248295E-5,NO
279,33,4.091318222731364E-5,NO
280,19,3.273108143493061E-5,NO
281,31,1.8184463194646498E-5,NO
282,37,1.636125654450262E-4,NO
283,102,5.4549421776129175E-5,NO
284,53,1.636125654450262E-4,NO
285,94,5.4549421776129175E-5,NO
286,31,1.8184463194646498E-5,NO
287,72,1.6366076396844623E-5,NO
288,104,1.636125654450262E-4,NO
289,58,1.636125654450262E-4,YES
290,53,1.636125654450262E-4,NO
291,42,3.273108143493061E-5,NO
292,50,1.636125654450262E-4,NO
293,393,1.636125654450262E-4,NO
294,377,1.636125654450262E-4,NO
295,59,1.636125654450262E-4,NO
296,77,8.181966944853542E-5,NO
297,282,1.636125654450262E-4,NO
298,166,1.636125654450262E-4,YES
299,130,1.636125654450262E-4,NO
300,30,1.636125654450262E-4,NO
301,302,1.636125654450262E-4,NO
302,131,1.636125654450262E-4,NO
303,66,1.636125654450262E-4,NO
304,34,2.3379781165248295E-5,NO
305,41,2.7276198788936776E-5,NO
306,32,1.3638471400125476E-5,NO
307,180,1.636125654450262E-4,NO
308,149,1.636125654450262E-4,YES
309,326,1.636125654450262E-4,NO
310,37,4.091318222731364E-5,NO
311,279,1.636125654450262E-4,NO
312,53,4.091318222731364E-5,NO
313,116,1.636125654450262E-4,NO
314,195,1.636125654450262E-4,NO
315,102,1.636125654450262E-4,NO
316,91,5.4549421776129175E-5,NO
317,90,1.636125654450262E-4,YES
318,88,1.636125654450262E-4,NO
319,43,1.636125654450262E-4,NO
320,52,1.636125654450262E-4,NO
321,64,5.4549421776129175E-5,NO
322,96,5.4549421776129175E-5,NO
323,250,1.636125654450262E-4,NO
324,186,1.636125654450262E-4,NO
325,255,1.636125654450262E-4,NO
326,69,1.636125654450262E-4,NO
327,145,1.636125654450262E-4,NO
328,41,2.7276198788936776E-5,NO
329,189,1.636125654450262E-4,NO
330,67,4.091318222731364E-5,NO
331,35,1.636125654450262E-4,NO
332,65,5.4549421776129175E-5,NO
333,46,1.636125654450262E-4,NO
334,72,1.636125654450262E-4,NO
