ID,Size,Predicted %,Actual value
377,105,0.2811666666666667,NO
378,91,0.4,YES
379,38,0.71,NO
380,133,0.87,NO
381,143,0.71,NO
382,162,0.77,YES
383,69,0.22,NO
384,481,0.6816666666666666,NO
385,50,0.2,NO
386,35,0.05,NO
387,62,0.53,NO
388,149,0.56,NO
389,22,0.7,NO
390,140,0.71,NO
391,43,0.01,NO
392,94,0.51,YES
393,57,0.45,NO
394,250,0.63,NO
395,99,0.135,NO
396,71,0.92,NO
397,331,0.58,NO
398,39,0.0,NO
399,106,0.2745,NO
400,146,0.52,NO
401,463,0.66,YES
402,191,0.75,NO
403,65,0.67,NO
404,121,0.5,NO
405,45,0.31,NO
406,49,0.15,NO
407,35,0.05,NO
408,63,0.4,NO
409,321,0.77,NO
410,238,0.76,YES
411,77,0.48,NO
412,33,0.1,NO
413,62,0.23,NO
414,32,0.44,NO
415,71,0.29,NO
416,112,0.4975,NO
417,891,0.88,NO
418,62,0.23,NO
419,471,0.69,NO
420,218,0.6,NO
421,38,0.17,YES
422,93,0.11,YES
423,26,0.0,NO
424,650,0.88,NO
425,46,0.08,NO
426,191,0.75,NO
427,115,0.66,YES
428,113,0.76,NO
429,45,0.16,NO
430,30,0.29,NO
431,209,0.95,NO
432,69,0.82,NO
433,323,0.5,YES
434,206,0.6716666666666666,NO
435,56,0.83,NO
436,62,0.23,NO
437,61,0.39,NO
438,137,0.23,NO
439,111,0.3,YES
440,122,0.28,NO
441,574,0.93,NO
442,54,0.64,NO
443,69,0.22,NO
444,101,0.5116666666666667,NO
445,58,0.43,NO
446,759,0.73,YES
447,36,0.47,NO
448,44,0.03,NO
449,45,0.46,NO
450,46,0.08,NO
451,309,0.67,YES
452,69,0.22,NO
453,79,0.77,NO
454,89,0.5,YES
455,39,0.0,NO
456,736,0.71,YES
457,118,0.66,NO
458,41,0.0,NO
459,48,0.04,NO
460,99,0.58,NO
461,122,0.28,NO
462,41,0.0,NO
463,60,0.82,NO
464,108,0.79,NO
465,823,0.83,NO
466,58,0.84,NO
467,226,0.7,YES
468,31,0.48,NO
469,51,0.39,NO
470,304,0.81375,NO
471,27,0.0,NO
472,27,0.24,NO
473,184,0.7,NO
474,47,0.1,NO
475,163,0.71,NO
476,42,0.0,NO
477,293,0.69,NO
478,42,0.0,NO
479,162,0.93,NO
480,110,0.2,NO
481,101,0.88,YES
482,35,0.05,NO
483,1001,0.71,YES
484,29,0.56,NO
485,53,0.34,NO
486,46,0.08,NO
487,122,0.43,NO
488,157,0.48,NO
489,51,0.17,NO
490,263,0.58,YES
491,136,0.24,NO
492,63,0.61,NO
493,365,0.51,NO
494,47,0.1,NO
495,37,0.0,NO
496,140,0.19,YES
497,117,0.73,NO
498,48,0.12,NO
499,87,0.35,NO
500,203,0.39,NO
501,95,0.53,NO
502,32,0.0,NO
503,76,0.355,NO
504,82,0.175,NO
505,63,0.21,NO
506,49,0.15,NO
507,35,0.05,NO
508,95,0.125,NO
509,94,0.08,NO
510,181,0.65,NO
511,41,0.0,NO
512,170,0.31,NO
513,53,0.48,NO
514,274,0.62,NO
515,236,0.66,NO
516,394,0.47,NO
517,19,0.04,NO
518,639,0.81,YES
519,59,0.45,NO
520,93,0.55,NO
521,320,0.77,NO
522,211,0.69,NO
523,52,0.42,NO
524,69,0.22,NO
525,32,0.0,NO
526,97,0.155,NO
527,76,0.8,NO
528,92,0.72,YES
529,23,0.75,NO
530,28,0.0,NO
531,52,0.19,NO
532,182,0.93,NO
533,282,0.65,YES
534,55,0.44,NO
535,73,0.345,NO
536,123,0.71,NO
537,257,0.94,YES
538,33,0.1,NO
539,251,1.0,YES
540,188,0.47,NO
541,86,0.23,NO
542,54,0.64,NO
543,58,0.84,NO
544,29,0.0,NO
545,50,0.05,NO
546,47,0.1,NO
547,333,0.56,NO
548,40,0.0,NO
549,37,0.0,NO
550,114,0.5,NO
551,86,0.74,NO
552,41,0.0,NO
553,130,0.66,NO
554,103,0.19166666666666668,NO
555,123,0.74,NO
556,297,0.7,NO
557,256,0.78,NO
558,70,0.24166666666666664,YES
559,142,0.75,NO
560,123,0.8,NO
561,84,0.21,YES
562,37,0.0,NO
563,105,0.2811666666666667,NO
564,31,0.0,NO
565,678,0.87,YES
566,38,0.61,NO
567,54,0.81,NO
568,27,0.0,NO
569,176,0.33,NO
570,32,0.57,NO
571,112,0.4975,NO
572,41,0.0,NO
573,117,0.22,NO
574,105,0.37,NO
575,67,0.28,NO
576,44,0.03,NO
577,117,0.22,NO
578,23,0.75,NO
579,34,0.0,NO
580,51,0.17,NO
581,189,0.78,NO
582,41,0.0,NO
583,450,0.69,NO
584,55,0.48,NO
585,35,0.63,NO
586,122,0.28,NO
587,106,0.2745,NO
588,102,0.59,YES
589,52,0.19,YES
590,122,0.88,YES
591,26,0.0,NO
592,59,0.45,NO
593,147,0.53,NO
594,534,0.8,YES
595,78,0.57,NO
596,405,0.72,YES
597,65,0.76,NO
598,50,0.2,NO
599,79,0.39,NO
600,178,0.33,NO
601,687,0.73,YES
602,32,0.0,NO
603,34,0.0,NO
604,53,0.34,NO
605,148,0.57,NO
606,128,0.29,NO
607,221,0.57,YES
608,51,0.44,NO
609,37,0.0,NO
610,43,0.01,NO
611,70,0.24166666666666664,NO
612,78,0.79,NO
613,179,0.81,YES
614,32,0.57,NO
615,211,0.85,NO
616,417,0.77,YES
617,128,0.82,NO
618,115,0.44,NO
619,97,0.155,NO
620,67,0.72,NO
621,221,0.79,NO
622,39,0.45,NO
623,31,0.76,NO
624,306,0.65,NO
625,27,0.0,NO
626,141,0.64,NO
627,54,0.39,NO
628,33,0.1,NO
629,328,0.76,NO
630,89,0.5,NO
631,83,0.73,NO
632,48,0.04,NO
633,45,0.5,NO
634,52,0.19,NO
635,440,0.56,YES
636,196,0.62,NO
637,25,0.48,NO
638,261,0.75,YES
639,358,0.95,YES
640,212,0.7,YES
641,49,0.15,NO
642,105,0.51,NO
643,41,0.0,NO
644,69,0.22,NO
645,128,0.76,NO
646,155,0.58,NO
647,35,0.27,NO
648,55,0.48,NO
649,127,0.29,NO
650,63,0.56,NO
651,124,0.55,YES
652,36,0.0,NO
653,99,0.72,NO
654,32,0.0,NO
655,115,0.7133333333333334,NO
656,46,0.08,NO
657,169,0.47,YES
658,70,0.9,NO
659,43,0.12,NO
660,104,0.59,NO
661,326,0.93,YES
662,37,0.0,NO
663,301,0.69,NO
664,101,0.72,NO
665,41,0.0,NO
666,57,0.88,NO
667,352,0.73,NO
668,169,0.7,NO
669,66,0.54,NO
670,54,0.64,NO
671,38,0.0,NO
672,53,0.34,NO
673,71,0.29,NO
674,363,0.8,YES
675,121,0.6,NO
676,90,0.5,NO
677,500,0.79,NO
678,49,0.15,NO
679,119,0.22,NO
680,41,0.0,NO
681,60,0.57,NO
682,160,0.63,YES
683,124,0.19,NO
684,78,0.56,NO
685,96,0.3,NO
686,47,0.82,NO
687,197,0.49,NO
688,132,0.79,NO
