LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,AVG_Churn,AVG_Holiday,Buggy
30,30,1,0,1,30,30,30,30,30.0,0.0,NO
46,46,1,0,1,46,46,46,46,46.0,0.0,NO
172,178,2,0,2,175,158,172,158,86.0,0.0,NO
140,140,1,0,1,140,140,140,140,140.0,0.0,NO
28,28,1,0,1,28,28,28,28,28.0,0.0,NO
151,151,1,0,1,151,151,151,151,151.0,0.0,NO
75,75,1,0,1,75,75,75,75,75.0,0.0,NO
156,226,3,0,2,191,157,156,157,52.0,0.0,NO
445,523,4,0,3,484,438,445,438,111.25,0.0,NO
96,108,2,0,1,102,102,96,102,48.0,0.0,NO
215,443,3,0,3,329,322,215,322,71.666664,0.0,NO
59,59,1,0,1,59,59,59,59,59.0,0.0,NO
101,101,2,0,2,101,72,101,72,50.5,0.0,NO
168,168,1,0,1,168,168,168,168,168.0,0.0,NO
94,98,2,0,1,96,96,94,96,47.0,0.0,NO
69,79,2,0,2,74,67,69,67,34.5,0.0,NO
483,483,1,0,1,483,483,483,483,483.0,0.0,NO
45,45,1,0,1,45,45,45,45,45.0,0.0,NO
72,72,1,0,1,72,72,72,72,72.0,0.0,NO
100,100,1,0,1,100,100,100,100,100.0,0.0,NO
112,112,1,0,1,112,112,112,112,112.0,0.0,NO
264,264,1,0,1,264,264,264,264,264.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
56,56,1,0,1,56,56,56,56,56.0,0.0,NO
46,46,1,0,1,46,46,46,46,46.0,0.0,NO
32,32,1,0,1,32,32,32,32,32.0,0.0,NO
32,38,2,0,2,35,28,32,28,16.0,0.0,NO
53,57,2,0,1,55,52,53,52,26.5,0.0,NO
144,146,2,0,2,145,144,144,144,72.0,0.0,NO
33,35,2,0,2,34,33,33,33,16.5,0.0,NO
353,353,1,0,1,353,353,353,353,353.0,0.0,NO
86,86,1,0,1,86,86,86,86,86.0,0.0,NO
79,79,1,0,1,79,79,79,79,79.0,0.0,NO
112,112,1,0,1,112,112,112,112,112.0,0.0,NO
31,31,1,0,1,31,31,31,31,31.0,0.0,NO
49,49,1,0,1,49,49,49,49,49.0,0.0,NO
49,49,1,0,1,49,49,49,49,49.0,0.0,NO
147,149,2,0,2,148,147,147,147,73.5,0.0,NO
19,20,1,0,1,20,20,20,20,20.0,0.0,NO
151,151,1,0,1,151,151,151,151,151.0,0.0,NO
41,41,1,0,1,41,41,41,41,41.0,0.0,NO
86,90,2,0,2,88,86,86,86,43.0,0.0,NO
152,154,2,0,2,153,152,152,152,76.0,0.0,NO
205,205,1,0,1,205,205,205,205,205.0,0.0,NO
111,123,2,0,2,117,115,111,115,55.5,0.0,NO
110,110,1,0,1,110,110,110,110,110.0,0.0,NO
83,83,1,0,1,83,83,83,83,83.0,0.0,NO
56,56,1,0,1,56,56,56,56,56.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
114,114,1,0,1,114,114,114,114,114.0,0.0,NO
100,100,1,0,1,100,100,100,100,100.0,0.0,NO
39,39,1,0,1,39,39,39,39,39.0,0.0,NO
90,98,2,0,1,94,93,90,93,45.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
111,111,1,0,1,111,111,111,111,111.0,0.0,NO
254,254,1,0,1,254,254,254,254,254.0,0.0,NO
69,75,2,0,2,72,66,69,66,34.5,0.0,NO
31,31,1,0,1,31,31,31,31,31.0,0.0,NO
48,60,3,0,2,54,41,48,41,16.0,0.0,NO
39,39,1,0,1,39,39,39,39,39.0,0.0,NO
48,54,2,0,2,51,44,48,44,24.0,0.0,NO
91,91,1,0,1,91,91,91,91,91.0,0.0,NO
191,227,2,0,2,209,181,191,181,95.5,0.0,NO
32,32,1,0,1,32,32,32,32,32.0,0.0,NO
157,173,2,0,2,165,150,157,150,78.5,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
348,348,1,0,1,348,348,348,348,348.0,0.0,NO
38,38,1,0,1,38,38,38,38,38.0,0.0,NO
56,56,1,0,1,56,56,56,56,56.0,0.0,NO
174,214,3,0,2,194,175,174,175,58.0,0.0,NO
185,185,1,0,1,185,185,185,185,185.0,0.0,NO
28,28,1,0,1,28,28,28,28,28.0,0.0,NO
65,65,1,0,1,65,65,65,65,65.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
215,215,1,0,1,215,215,215,215,215.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
76,76,2,0,2,76,69,76,69,38.0,0.0,NO
283,287,2,0,2,285,244,283,244,141.5,0.0,NO
549,555,3,0,3,552,545,549,545,183.0,0.0,NO
62,62,1,0,1,62,62,62,62,62.0,0.0,NO
113,113,1,0,1,113,113,113,113,113.0,0.0,NO
43,43,1,0,1,43,43,43,43,43.0,0.0,NO
46,46,1,0,1,46,46,46,46,46.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
64,64,1,0,1,64,64,64,64,64.0,0.0,NO
45,47,2,0,2,46,45,45,45,22.5,0.0,NO
19,19,1,0,1,19,19,19,19,19.0,0.0,NO
28,28,1,0,1,28,28,28,28,28.0,0.0,NO
66,66,1,0,1,66,66,66,66,66.0,0.0,NO
32,32,1,0,1,32,32,32,32,32.0,0.0,NO
78,78,1,0,1,78,78,78,78,78.0,0.0,NO
853,995,9,0,3,924,818,853,818,94.77778,0.0,NO
216,216,1,0,1,216,216,216,216,216.0,0.0,NO
114,114,1,0,1,114,114,114,114,114.0,0.0,NO
548,568,3,0,2,558,545,548,545,182.66667,0.0,NO
32,32,1,0,1,32,32,32,32,32.0,0.0,NO
37,37,1,0,1,37,37,37,37,37.0,0.0,NO
19,20,1,0,1,20,20,20,20,20.0,0.0,NO
53,53,1,0,1,53,53,53,53,53.0,0.0,NO
31,31,1,0,1,31,31,31,31,31.0,0.0,NO
192,242,6,0,3,217,176,192,176,32.0,0.0,NO
37,37,1,0,1,37,37,37,37,37.0,0.0,NO
140,140,1,0,1,140,140,140,140,140.0,0.0,NO
92,92,1,0,1,92,92,92,92,92.0,0.0,NO
31,31,1,0,1,31,31,31,31,31.0,0.0,NO
555,653,4,0,2,604,537,555,537,138.75,0.0,YES
72,72,1,0,1,72,72,72,72,72.0,0.0,NO
107,107,1,0,1,107,107,107,107,107.0,0.0,NO
57,57,1,0,1,57,57,57,57,57.0,0.0,NO
54,56,2,0,2,55,54,54,54,27.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
406,436,3,0,2,421,404,406,404,135.33333,0.0,NO
210,210,1,0,1,210,210,210,210,210.0,0.0,NO
356,360,2,0,1,358,356,356,356,178.0,0.0,NO
59,59,1,0,1,59,59,59,59,59.0,0.0,NO
72,78,2,0,2,75,69,72,69,36.0,0.0,NO
268,330,3,0,2,299,221,268,221,89.333336,0.0,NO
154,158,2,0,2,156,154,154,154,77.0,0.0,NO
44,44,1,0,1,44,44,44,44,44.0,0.0,NO
305,337,3,0,2,321,309,305,309,101.666664,0.0,NO
132,132,1,0,1,132,132,132,132,132.0,0.0,NO
67,67,1,0,1,67,67,67,67,67.0,0.0,NO
33,33,1,0,1,33,33,33,33,33.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
29,29,1,0,1,29,29,29,29,29.0,0.0,NO
69,69,1,0,1,69,69,69,69,69.0,0.0,NO
32,32,1,0,1,32,32,32,32,32.0,0.0,NO
180,338,3,0,2,259,200,180,200,60.0,0.0,NO
301,345,3,0,3,323,239,301,239,100.333336,0.0,NO
36,36,1,0,1,36,36,36,36,36.0,0.0,NO
259,267,2,0,2,263,209,259,209,129.5,0.0,NO
357,357,1,0,1,357,357,357,357,357.0,0.0,NO
201,237,4,0,2,219,180,201,180,50.25,0.0,NO
96,96,1,0,1,96,96,96,96,96.0,0.0,NO
90,90,1,0,1,90,90,90,90,90.0,0.0,NO
35,35,1,0,1,35,35,35,35,35.0,0.0,NO
84,84,1,0,1,84,84,84,84,84.0,0.0,NO
68,68,1,0,1,68,68,68,68,68.0,0.0,NO
102,102,1,0,1,102,102,102,102,102.0,0.0,NO
183,183,1,0,1,183,183,183,183,183.0,0.0,NO
224,258,4,0,2,241,224,224,224,56.0,0.0,NO
41,41,1,0,1,41,41,41,41,41.0,0.0,NO
27,27,1,0,1,27,27,27,27,27.0,0.0,NO
49,49,1,0,1,49,49,49,49,49.0,0.0,NO
145,145,1,0,1,145,145,145,145,145.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
195,195,1,0,1,195,195,195,195,195.0,0.0,NO
67,67,1,0,1,67,67,67,67,67.0,0.0,NO
69,69,1,0,1,69,69,69,69,69.0,0.0,NO
66,66,1,0,1,66,66,66,66,66.0,0.0,NO
45,45,1,0,1,45,45,45,45,45.0,0.0,NO
131,131,1,0,1,131,131,131,131,131.0,0.0,NO
461,461,1,0,1,461,461,461,461,461.0,0.0,NO
104,104,1,0,1,104,104,104,104,104.0,0.0,NO
26,26,1,0,1,26,26,26,26,26.0,0.0,NO
72,72,1,0,1,72,72,72,72,72.0,0.0,NO
187,187,1,0,1,187,187,187,187,187.0,0.0,NO
68,68,1,0,1,68,68,68,68,68.0,0.0,NO
101,101,1,0,1,101,101,101,101,101.0,0.0,NO
88,302,3,0,3,195,190,88,190,29.333334,0.0,NO
38,38,1,0,1,38,38,38,38,38.0,0.0,NO
116,116,1,0,1,116,116,116,116,116.0,0.0,NO
63,63,1,0,1,63,63,63,63,63.0,0.0,NO
