@relation BOOKKEEPER//training//training_2_BOOKKEEPER

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute NR numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute AVG_Churn numeric
@attribute AVG_Holiday numeric
@attribute Buggy {'YES', 'NO'}

@data
94,94,1,0,1,94,94,94,94,94.0,0.0,NO
54,56,3,0,3,55,45,54,45,18.0,0.0,NO
63,71,2,0,2,67,63,63,63,31.5,0.0,NO
366,414,5,0,2,390,365,366,365,73.2,0.0,YES
185,229,5,0,3,207,184,185,184,37.0,0.0,YES
586,704,4,0,2,645,585,586,585,146.5,0.0,YES
105,107,2,0,1,106,61,105,61,52.5,0.0,YES
154,170,4,0,3,162,75,154,75,38.5,0.0,YES
57,65,2,0,2,61,57,57,57,28.5,0.0,NO
104,118,2,0,2,111,104,104,104,52.0,0.0,YES
237,277,2,0,2,257,237,237,237,118.5,0.0,YES
71,85,4,0,2,78,70,71,70,17.75,0.0,NO
124,130,2,0,2,127,124,124,124,62.0,0.0,NO
98,98,1,0,1,98,98,98,98,98.0,0.0,NO
183,221,4,0,2,202,180,183,180,45.75,0.0,YES
49,49,1,0,1,49,49,49,49,49.0,0.0,NO
148,148,1,0,1,148,148,148,148,148.0,0.0,NO
36,46,2,0,2,41,36,36,36,18.0,0.0,YES
79,109,3,0,2,94,78,79,78,26.333334,0.0,NO
133,145,3,0,2,139,133,133,133,44.333332,0.0,YES
37,37,1,0,1,37,37,37,37,37.0,0.0,NO
160,174,4,0,2,167,159,160,159,40.0,0.0,YES
253,257,2,0,1,255,251,253,251,126.5,0.0,YES
27,29,2,0,2,28,27,27,27,13.5,0.0,NO
92,160,4,0,3,126,91,92,91,23.0,0.0,NO
64,66,2,0,2,65,64,64,64,32.0,0.0,YES
551,691,7,0,3,621,536,551,536,78.71429,0.0,YES
196,252,6,0,3,224,178,196,178,32.666668,0.0,YES
204,204,1,0,1,204,204,204,204,204.0,0.0,NO
27,27,1,0,1,27,27,27,27,27.0,0.0,NO
